2026-05-30 11:57:51.887 [main] INFO  com.zzyl.ZzylApplication-Starting ZzylApplication using Java 17.0.17 on alan005 with PID 12648 (C:\Users\lgdai\Desktop\heima-studying\project\zzyl\backend\zzyl\zzyl-web\target\zzyl-web.jar started by lgdai in C:\Users\lgdai\Desktop\heima-studying\project\zzyl\backend\zzyl\zzyl-web\target)
2026-05-30 11:57:51.894 [main] INFO  com.zzyl.ZzylApplication-No active profile set, falling back to 1 default profile: "default"
2026-05-30 11:57:55.579 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer-Tomcat initialized with port(s): 9995 (http)
2026-05-30 11:57:55.601 [main] INFO  org.apache.coyote.http11.Http11NioProtocol-Initializing ProtocolHandler ["http-nio-9995"]
2026-05-30 11:57:55.603 [main] INFO  org.apache.catalina.core.StandardService-Starting service [Tomcat]
2026-05-30 11:57:55.603 [main] INFO  org.apache.catalina.core.StandardEngine-Starting Servlet engine: [Apache Tomcat/9.0.65]
2026-05-30 11:57:55.760 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]-Initializing Spring embedded WebApplicationContext
2026-05-30 11:57:55.761 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext-Root WebApplicationContext: initialization completed in 3767 ms
2026-05-30 11:57:55.926 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure-Init DruidDataSource
2026-05-30 11:57:56.371 [main] INFO  com.alibaba.druid.pool.DruidDataSource-{dataSource-1} inited
2026-05-30 11:57:59.186 [main] INFO  com.zzyl.config.OssAliyunAutoConfig------------------开始创建OSSClient--------------------
2026-05-30 11:58:00.276 [main] INFO  com.zzyl.config.OssAliyunAutoConfig------------------结束创建OSSClient--------------------
2026-05-30 11:58:01.063 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver-Exposing 1 endpoint(s) beneath base path '/actuator'
2026-05-30 11:58:02.186 [main] INFO  org.apache.coyote.http11.Http11NioProtocol-Starting ProtocolHandler ["http-nio-9995"]
2026-05-30 11:58:02.223 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer-Tomcat started on port(s): 9995 (http) with context path ''
2026-05-30 11:58:02.961 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: int, dataTypeClass: class java.lang.Void
2026-05-30 11:58:02.969 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: int, dataTypeClass: class java.lang.Void
2026-05-30 11:58:02.970 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2026-05-30 11:58:02.972 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2026-05-30 11:58:02.973 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: int, dataTypeClass: class java.lang.Void
2026-05-30 11:58:02.974 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: long, dataTypeClass: class java.lang.Void
2026-05-30 11:58:02.975 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: long, dataTypeClass: class java.lang.Void
2026-05-30 11:58:03.004 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: int, dataTypeClass: class java.lang.Void
2026-05-30 11:58:03.006 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: int, dataTypeClass: class java.lang.Void
2026-05-30 11:58:03.007 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2026-05-30 11:58:03.008 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2026-05-30 11:58:03.009 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: int, dataTypeClass: class java.lang.Void
2026-05-30 11:58:03.010 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: long, dataTypeClass: class java.lang.Void
2026-05-30 11:58:03.010 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: long, dataTypeClass: class java.lang.Void
2026-05-30 11:58:03.092 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: DeptDto, dataTypeClass: class java.lang.Void
2026-05-30 11:58:03.118 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: DeptDto, dataTypeClass: class java.lang.Void
2026-05-30 11:58:03.123 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: DeptDto, dataTypeClass: class java.lang.Void
2026-05-30 11:58:03.135 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: DeptDto, dataTypeClass: class java.lang.Void
2026-05-30 11:58:03.569 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: PostDto, dataTypeClass: class java.lang.Void
2026-05-30 11:58:03.571 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: Integer, dataTypeClass: class java.lang.Void
2026-05-30 11:58:03.573 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: Integer, dataTypeClass: class java.lang.Void
2026-05-30 11:58:03.584 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: PostDto, dataTypeClass: class java.lang.Void
2026-05-30 11:58:03.589 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: PostDto, dataTypeClass: class java.lang.Void
2026-05-30 11:58:03.595 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: PostDto, dataTypeClass: class java.lang.Void
2026-05-30 11:58:03.607 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: PostDto, dataTypeClass: class java.lang.Void
2026-05-30 11:58:03.778 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: int, dataTypeClass: class java.lang.Void
2026-05-30 11:58:03.779 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: int, dataTypeClass: class java.lang.Void
2026-05-30 11:58:03.780 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2026-05-30 11:58:03.781 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2026-05-30 11:58:03.782 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: int, dataTypeClass: class java.lang.Void
2026-05-30 11:58:03.783 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: int, dataTypeClass: class java.lang.Void
2026-05-30 11:58:03.784 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: long, dataTypeClass: class java.lang.Void
2026-05-30 11:58:03.784 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: long, dataTypeClass: class java.lang.Void
2026-05-30 11:58:03.833 [main] INFO  com.zzyl.ZzylApplication-Started ZzylApplication in 12.96 seconds (JVM running for 13.825)
2026-05-30 11:58:04.362 [http-nio-9995-exec-3] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]-Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-05-30 11:58:04.363 [http-nio-9995-exec-3] INFO  org.springframework.web.servlet.DispatcherServlet-Initializing Servlet 'dispatcherServlet'
2026-05-30 11:58:04.365 [http-nio-9995-exec-3] INFO  org.springframework.web.servlet.DispatcherServlet-Completed initialization in 2 ms
2026-05-30 11:59:43.224 [http-nio-9995-exec-5] ERROR com.alibaba.druid.pool.DruidAbstractDataSource-discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3307/zzyl?useUnicode=true&characterEncoding=utf8&serverTimezone=Asia/Shanghai, jdbcUrl : jdbc:mysql://localhost:3307/zzyl?useUnicode=true&characterEncoding=utf8&serverTimezone=Asia/Shanghai, lastPacketReceivedIdleMillis : 93302
2026-05-30 11:59:50.924 [http-nio-9995-exec-4] INFO  com.zzyl.service.impl.ElderServiceImpl-Setting nursing for elder 325: nursingIds=[1, 2]
